airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
EGNR,CEG,Hawarden Airport,Broughton,GB,Matched,United Kingdom
EGNS,IOM,Isle of Man Airport,Castletown,IM,Matched,Unknown
EGNT,NCL,Newcastle International Airport,"Newcastle upon Tyne, Tyne and Wear",GB,Matched,United Kingdom
EGNV,MME,Teesside International Airport,"Darlington, Durham",GB,Matched,United Kingdom
EGNX,EMA,East Midlands Airport,"Nottingham, Leicestershire",GB,Matched,United Kingdom
EGOM,,RAF Spadeadam,Spadeadam,GB,Matched,United Kingdom
EGOS,,RAF Shawbury,"Shrewsbury, Shropshire",GB,Matched,United Kingdom
EGOV,VLY,Anglesey Airport,Angelsey,GB,Matched,United Kingdom
EGPA,KOI,Kirkwall Airport,"Kirkwall, Orkney Islands",GB,Matched,United Kingdom
EGPB,LSI,Sumburgh Airport,"Lerwick, Shetland",GB,Matched,United Kingdom
EGPC,WIC,Wick John O'Groats Airport,Wick,GB,Matched,United Kingdom
EGPD,ABZ,Aberdeen International Airport,Aberdeen,GB,Matched,United Kingdom
EGPE,INV,Inverness Airport,Inverness,GB,Matched,United Kingdom
EGPF,GLA,Glasgow Airport,Glasgow,GB,Matched,United Kingdom
EGPH,EDI,Edinburgh Airport,"Ingliston, Edinburgh",GB,Matched,United Kingdom
EGPI,ILY,Islay Airport,"Isle of Islay, Argyll and Bute",GB,Matched,United Kingdom
EGPK,PIK,Glasgow Prestwick Airport,"Prestwick, South Ayrshire",GB,Matched,United Kingdom
EGPL,BEB,Benbecula Airport,Balivanich,GB,Matched,United Kingdom
EGPN,DND,Dundee Airport,Dundee,GB,Matched,United Kingdom
EGPO,SYY,Stornoway Airport,"Stornoway, Western Isles",GB,Matched,United Kingdom
EGPU,TRE,Tiree Airport,"Balemartine, Argyll and Bute",GB,Matched,United Kingdom
EGQL,ADX,Leuchars Station Airfield,"Leuchars, Fife",GB,Matched,United Kingdom
EGQS,LMO,RAF Lossiemouth,"Lossiemouth, Moray",GB,Matched,United Kingdom
EGSC,CBG,Cambridge City Airport,"Cambridge, Cambridgeshire",GB,Matched,United Kingdom
EGSH,NWI,Norwich Airport,"Norwich, Norfolk",GB,Matched,United Kingdom
EGSS,STN,London Stansted Airport,"London, Essex",GB,Matched,United Kingdom
