airport_icao,airport_iata,airport_name,airport_city,country_code,match_status
ESSB,BMA,Stockholm-Bromma Airport,Stockholm,SE,Matched
ESSD,BLE,Dala Airport,Borlange,SE,Matched
ESSK,,Gävle Sandviken Airport,Gävle / Sandviken,SE,Matched
ESSL,LPI,Linköping City Airport,Linköping,SE,Matched
ESSP,NRK,Norrköping Airport,Norrköping,SE,Matched
ESST,TYF,Torsby Airport,Torsby,SE,Matched
ESSU,EKT,Eskilstuna Airport,Eskilstuna,SE,Matched
ESSV,VBY,Visby Airport,Visby,SE,Matched
ESTA,AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,Matched
ESTL,,Ljungbyhed Airfield,Ljungbyhed,SE,Matched
ESUD,SQO,Storuman Airport,Storuman,SE,Matched
ETAD,SPM,Spangdahlem Air Base,Trier,DE,Matched
ETAR,RMS,Ramstein Air Base,Ramstein-Miesenbach,DE,Matched
ETHB,,Bückeburg Air Base,Bückeburg,DE,Matched
ETHC,,Celle Army Airfield,Celle,DE,Matched
ETHF,FRZ,Fritzlar Army Airfield,Fritzlar,DE,Matched
ETHL,,Laupheim Air Base,Laupheim,DE,Matched
ETHN,,Niederstetten Army Air Base,Niederstetten,DE,Matched
ETHS,,Faßberg Air Base,Faßberg,DE,Matched
ETIC,,Grafenwöhr Army Air Field,Grafenwöhr,DE,Matched
ETIH,,Hohenfels Army Airfield,Hohenfels,DE,Matched
ETMN,FCN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE,Matched
ETND,,Diepholz Air Base,Diepholz,DE,Matched
ETNG,GKE,Geilenkirchen Air Base,Geilenkirchen,DE,Matched
ETNH,,Hohn Air Base,Hohn,DE,Matched
ETNL,RLG,Rostock-Laage Airport,Laage,DE,Matched
ETNN,,Nörvenich Air Base,Nörvenich,DE,Matched
ETNS,WBG,Schleswig Air Base,Jagel,DE,Matched
ETNT,,Wittmundhafen Air Base,Wittmund,DE,Matched
ETNW,,Wunstorf Air Base,,DE,Matched
ETOU,WIE,Wiesbaden Army Airfield,Wiesbaden,DE,Matched
ETSB,,Büchel Air Base,Alflen,DE,Matched
ETSH,,Holzdorf Air Base,Holzdorf,DE,Matched
ETSI,IGS,Ingolstadt Manching Airport,Manching,DE,Matched
ETSL,,Lechfeld Air Base,Graben,DE,Matched
ETSN,,Neuburg Air Base,Neuburg an der Donau,DE,Matched
EVDA,,,,,Unmatched
EVKA,,Jēkabpils Air Base,Jēkabpils,LV,Matched
EVLA,LPX,Liepāja International Airport,Liepāja,LV,Matched
EVRA,RIX,Riga International Airport,Riga,LV,Matched
EVTA,,Jūrmala Airport,Tukums,LV,Matched
EYKA,KUN,Kaunas International Airport,Kaunas,LT,Matched
EYKD,,Kėdainiai Air Base,Kėdainiai,LT,Matched
EYPA,PLQ,Palanga International Airport,Palanga,LT,Matched
EYPP,PNV,Panevėžys Air Base,Panevėžys,LT,Matched
EYSA,SQQ,Šiauliai International Airport,Šiauliai,LT,Matched
EYSB,,Barysiai Airfield,Šiauliai,LT,Matched
EYVI,VNO,Vilnius International Airport,Vilnius,LT,Matched
GCFV,FUE,Fuerteventura Airport,El Matorral,ES,Matched
GCHI,VDE,El Hierro Airport,El Hierro Island,ES,Matched
GCLA,SPC,La Palma Airport,"Sta Cruz de la Palma, La Palma Island",ES,Matched
GCLP,LPA,Gran Canaria Airport,Gran Canaria Island,ES,Matched
GCRR,ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES,Matched
GCTS,TFS,Tenerife Sur Airport,Tenerife,ES,Matched
